fare_id,route_id,origin_id,destination_id
Fare150yen_00,1,14_1,16_0
Fare150yen_00,1,14_1,17_1
Fare150yen_00,1,14_1,18_1
Fare200yen_00,1,14_1,19_1
Fare150yen_00,1,14_1,20_0
Fare150yen_00,1,15_1,16_0
Fare150yen_00,1,15_1,17_1
Fare150yen_00,1,15_1,18_1
Fare150yen_00,1,15_1,19_1
Fare150yen_00,1,15_1,20_0
Fare150yen_00,1,16_0,17_1
Fare150yen_00,1,16_0,18_1
Fare150yen_00,1,16_0,19_1
Fare150yen_00,1,16_0,20_0
Fare150yen_00,1,17_1,18_1
Fare150yen_00,1,17_1,19_1
Fare150yen_00,1,17_1,20_0
Fare150yen_00,1,18_1,19_1
Fare150yen_00,1,18_1,20_0
Fare150yen_00,1,19_1,20_0
