fare_id,route_id,origin_id,destination_id
Fare250yen_00,2,21_2,26_2
Fare300yen_00,2,21_2,27_2
Fare300yen_00,2,21_2,28_1
Fare300yen_00,2,21_2,29_1
Fare150yen_00,2,22_2,23_2
Fare150yen_00,2,22_2,24_2
Fare150yen_00,2,22_2,25_2
Fare200yen_00,2,22_2,26_2
Fare200yen_00,2,22_2,27_2
Fare250yen_00,2,22_2,28_1
Fare300yen_00,2,22_2,29_1
Fare150yen_00,2,23_2,24_2
Fare150yen_00,2,23_2,25_2
Fare150yen_00,2,23_2,26_2
Fare150yen_00,2,23_2,27_2
Fare200yen_00,2,23_2,28_1
Fare300yen_00,2,23_2,29_1
Fare150yen_00,2,24_2,25_2
Fare150yen_00,2,24_2,26_2
Fare150yen_00,2,24_2,27_2
Fare150yen_00,2,24_2,28_1
Fare300yen_00,2,24_2,29_1
Fare150yen_00,2,25_2,26_2
Fare150yen_00,2,25_2,27_2
Fare150yen_00,2,25_2,28_1
Fare300yen_00,2,25_2,29_1
Fare150yen_00,2,26_2,27_2
Fare150yen_00,2,26_2,28_1
Fare300yen_00,2,26_2,29_1
Fare150yen_00,2,27_2,28_1
Fare300yen_00,2,27_2,29_1
Fare300yen_00,2,28_1,29_1
瀬戸内国際芸術祭2022臨時線2_00,3,,
